  PI: 3.14159
M_PI: 
m_PI: 3.14159265358979310000
C_PI: 3.141592654
F_PI: 22.0/7.0

   DEC              PI           M_PI           m_PI          CASIO           22/7
    0°:    000.000000a    000.000000a    000.000000a    000.000000a    000.000000a
    1°:    0.057296    0.057296    0.057296    0.057296    0.057273
    2°:    0.114592    0.114592    0.114592    0.114592    0.114545
    3°:    0.171887    0.171887    0.171887    0.171887    0.171818
    4°:    0.229183    0.229183    0.229183    0.229183    0.229091
    5°:    0.286479    0.286479    0.286479    0.286479    0.286364
    6°:    0.343775    0.343775    0.343775    0.343775    0.343636
    7°:    0.401071    0.401070    0.401070    0.401070    0.400909
    8°:    0.458367    0.458366    0.458366    0.458366    0.458182
    9°:    0.515662    0.515662    0.515662    0.515662    0.515455
   10°:    0.572958    0.572958    0.572958    0.572958    0.572727
   11°:    0.630254    0.630254    0.630254    0.630254    0.630000
   12°:    0.687550    0.687549    0.687549    0.687549    0.687273
   13°:    0.744846    0.744845    0.744845    0.744845    0.744546
   14°:    0.802142    0.802141    0.802141    0.802141    0.801818
   15°:    0.859437    0.859437    0.859437    0.859437    0.859091
   16°:    0.916733    0.916732    0.916732    0.916732    0.916364
   17°:    0.974029    0.974028    0.974028    0.974028    0.973636
   18°:    1.031325    1.031324    1.031324    1.031324    1.030909
   19°:    1.088621    1.088620    1.088620    1.088620    1.088182
   20°:    1.145917    1.145916    1.145916    1.145916    1.145455
   21°:    1.203212    1.203211    1.203211    1.203211    1.202727
   22°:    1.260508    1.260507    1.260507    1.260507    1.260000
   23°:    1.317804    1.317803    1.317803    1.317803    1.317273
   24°:    1.375100    1.375099    1.375099    1.375099    1.374545
   25°:    1.432396    1.432395    1.432395    1.432395    1.431818
   26°:    1.489692    1.489690    1.489690    1.489690    1.489091
   27°:    1.546987    1.546986    1.546986    1.546986    1.546364
   28°:    1.604283    1.604282    1.604282    1.604282    1.603636
   29°:    1.661579    1.661578    1.661578    1.661578    1.660909
   30°:    1.718875    1.718873    1.718873    1.718873    1.718182
   31°:    1.776171    1.776169    1.776169    1.776169    1.775455
   32°:    1.833467    1.833465    1.833465    1.833465    1.832727
   33°:    1.890762    1.890761    1.890761    1.890761    1.890000
   34°:    1.948058    1.948057    1.948057    1.948057    1.947273
   35°:    2.005354    2.005352    2.005352    2.005352    2.004545
   36°:    2.062650    2.062648    2.062648    2.062648    2.061818
   37°:    2.119946    2.119944    2.119944    2.119944    2.119091
   38°:    2.177241    2.177239    2.177239    2.177239    2.176363
   39°:    2.234537    2.234535    2.234535    2.234535    2.233636
   40°:    2.291833    2.291831    2.291831    2.291831    2.290909
   41°:    2.349129    2.349127    2.349127    2.349127    2.348182
   42°:    2.406425    2.406423    2.406423    2.406423    2.405455
   43°:    2.463721    2.463719    2.463719    2.463719    2.462727
   44°:    2.521016    2.521014    2.521014    2.521014    2.520000
   45°:    2.578312    2.578310    2.578310    2.578310    2.577273
   46°:    2.635608    2.635606    2.635606    2.635606    2.634545
   47°:    2.692904    2.692902    2.692902    2.692902    2.691818
   48°:    2.750200    2.750197    2.750197    2.750197    2.749091
   49°:    2.807495    2.807493    2.807493    2.807493    2.806364
   50°:    2.864791    2.864789    2.864789    2.864789    2.863636
   51°:    2.922087    2.922085    2.922085    2.922085    2.920909
   52°:    2.979383    2.979381    2.979381    2.979381    2.978182
   53°:    3.036679    3.036676    3.036676    3.036676    3.035455
   54°:    3.093975    3.093972    3.093972    3.093972    3.092727
   55°:    3.151270    3.151268    3.151268    3.151268    3.150000
   56°:    3.208566    3.208564    3.208564    3.208564    3.207273
   57°:    3.265862    3.265860    3.265860    3.265860    3.264545
   58°:    3.323158    3.323155    3.323155    3.323155    3.321818
   59°:    3.380454    3.380451    3.380451    3.380451    3.379091
   60°:    3.437750    3.437747    3.437747    3.437747    3.436364
   61°:    3.495046    3.495043    3.495043    3.495043    3.493637
   62°:    3.552341    3.552338    3.552338    3.552338    3.550909
   63°:    3.609637    3.609634    3.609634    3.609634    3.608182
   64°:    3.666933    3.666930    3.666930    3.666930    3.665455
   65°:    3.724229    3.724226    3.724226    3.724226    3.722727
   66°:    3.781525    3.781522    3.781522    3.781522    3.780000
   67°:    3.838821    3.838817    3.838817    3.838817    3.837273
   68°:    3.896116    3.896113    3.896113    3.896113    3.894546
   69°:    3.953412    3.953409    3.953409    3.953409    3.951818
   70°:    4.010708    4.010705    4.010705    4.010705    4.009091
   71°:    4.068004    4.068001    4.068001    4.068001    4.066364
   72°:    4.125299    4.125296    4.125296    4.125296    4.123636
   73°:    4.182595    4.182592    4.182592    4.182592    4.180909
   74°:    4.239891    4.239888    4.239888    4.239888    4.238182
   75°:    4.297187    4.297184    4.297184    4.297184    4.295455
